DateKey,Year,Month
1,2020,1
2,2022,8
3,2019,7
4,2020,6
5,2021,4
6,2022,10
7,2022,9
8,2019,2
9,2019,11
10,2020,5
11,2021,9
12,2021,10
13,2023,11
14,2020,7
15,2020,4
16,2021,12
17,2023,12
18,2021,7
19,2019,8
20,2023,12
21,2022,8
22,2019,2
23,2021,4
24,2021,11
25,2022,12
26,2022,9
27,2021,1
28,2019,11
29,2020,1
30,2023,12
31,2022,4
32,2022,6
33,2022,6
34,2019,1
35,2022,7
36,2021,2
37,2019,10
38,2023,8
39,2022,10
40,2022,5
41,2023,4
42,2023,9
43,2023,3
44,2019,1
45,2021,2
46,2022,12
47,2023,9
48,2023,10
49,2020,8
50,2019,10
51,2020,10
52,2021,4
53,2020,9
54,2022,2
55,2023,4
56,2023,10
57,2020,10
58,2019,12
59,2019,8
60,2023,11
61,2021,8
62,2020,1
63,2023,12
64,2022,4
65,2020,3
66,2023,1
67,2020,11
68,2019,7
69,2020,5
70,2023,6
71,2021,10
72,2020,1
73,2019,12
74,2022,10
75,2021,4
76,2020,11
77,2019,9
78,2021,2
79,2019,7
80,2023,2
81,2020,7
82,2022,10
83,2023,12
84,2020,3
85,2022,7
86,2019,1
87,2022,1
88,2021,10
89,2023,11
90,2021,3
91,2021,4
92,2022,10
93,2019,6
94,2021,8
95,2019,5
96,2020,11
97,2020,6
98,2019,11
99,2023,11
100,2019,8
101,2020,7
102,2020,7
103,2022,3
104,2020,10
105,2019,8
106,2023,6
107,2021,5
108,2019,5
109,2020,3
110,2022,2
111,2021,9
112,2019,3
113,2021,11
114,2021,12
115,2019,4
116,2019,11
117,2021,4
118,2019,3
119,2022,8
120,2022,1
121,2019,6
122,2022,11
123,2020,10
124,2021,8
125,2023,3
126,2020,3
127,2023,4
128,2020,11
129,2021,1
130,2020,3
131,2022,12
132,2019,11
133,2019,10
134,2019,4
135,2022,11
136,2021,8
137,2019,5
138,2020,2
139,2023,10
140,2023,5
141,2019,2
142,2022,3
143,2021,2
144,2020,11
145,2023,7
146,2023,2
147,2020,8
148,2023,4
149,2022,7
150,2019,1
151,2019,10
152,2021,7
153,2023,2
154,2023,1
155,2023,8
156,2019,5
157,2020,11
158,2023,1
159,2022,8
160,2019,8
161,2022,5
162,2019,1
163,2020,8
164,2022,5
165,2021,5
166,2019,11
167,2022,3
168,2023,2
169,2020,9
170,2020,4
171,2023,3
172,2020,7
173,2023,1
174,2021,4
175,2023,10
176,2020,11
177,2021,7
178,2019,9
179,2020,12
180,2021,2
181,2019,1
182,2022,7
183,2023,10
184,2020,1
185,2023,7
186,2022,4
187,2019,3
188,2022,9
189,2022,2
190,2020,10
191,2021,2
192,2019,9
193,2023,8
194,2023,2
195,2022,11
196,2021,7
197,2022,10
198,2022,9
199,2019,9
200,2020,12
201,2021,12
202,2021,8
203,2021,2
204,2023,6
205,2020,4
206,2023,4
207,2022,2
208,2019,1
209,2019,5
210,2019,4
211,2019,11
212,2022,3
213,2020,5
214,2023,10
215,2021,12
216,2023,11
217,2020,12
218,2022,1
219,2023,5
220,2021,4
221,2021,3
222,2021,5
223,2023,7
224,2020,4
225,2020,7
226,2023,12
227,2021,7
228,2019,12
229,2021,3
230,2019,10
231,2022,9
232,2022,7
233,2022,7
234,2021,4
235,2019,3
236,2019,6
237,2023,6
238,2020,3
239,2020,4
240,2020,8
241,2019,12
242,2021,8
243,2022,6
244,2020,10
245,2022,3
246,2021,10
247,2021,9
248,2022,12
249,2022,8
250,2023,2
251,2019,2
252,2021,7
253,2023,4
254,2021,11
255,2020,12
256,2022,6
257,2021,12
258,2023,10
259,2022,7
260,2021,11
261,2020,8
262,2020,2
263,2019,10
264,2019,10
265,2022,4
266,2021,10
267,2020,10
268,2021,9
269,2020,6
270,2022,12
271,2023,2
272,2019,3
273,2021,8
274,2019,9
275,2019,2
276,2021,11
277,2023,1
278,2020,2
279,2022,7
280,2023,7
281,2023,12
282,2023,4
283,2023,8
284,2019,12
285,2023,5
286,2023,5
287,2020,6
288,2019,12
289,2022,1
290,2020,7
291,2020,12
292,2020,11
293,2022,4
294,2019,5
295,2022,10
296,2021,8
297,2023,11
298,2021,1
299,2019,4
300,2022,6
301,2021,12
302,2022,8
303,2019,8
304,2020,12
305,2019,7
306,2022,5
307,2019,5
308,2019,11
309,2020,12
310,2022,11
311,2023,6
312,2021,7
313,2020,7
314,2022,3
315,2021,3
316,2021,7
317,2021,3
318,2023,8
319,2023,9
320,2022,7
321,2020,9
322,2022,4
323,2023,3
324,2022,9
325,2020,6
326,2021,9
327,2023,12
328,2020,7
329,2021,11
330,2019,6
331,2021,11
332,2023,3
333,2020,7
334,2022,7
335,2022,5
336,2022,12
337,2022,7
338,2022,5
339,2023,3
340,2023,6
341,2021,4
342,2019,8
343,2022,9
344,2020,1
345,2022,1
346,2019,10
347,2021,6
348,2019,5
349,2023,3
350,2019,2
351,2019,4
352,2021,6
353,2023,11
354,2021,10
355,2022,1
356,2022,11
357,2019,5
358,2022,2
359,2022,12
360,2021,6
361,2020,12
362,2022,3
363,2020,12
364,2023,9
365,2022,6
366,2023,10
367,2023,12
368,2020,9
369,2019,4
370,2019,4
371,2021,10
372,2021,2
373,2021,12
374,2022,7
375,2019,12
376,2021,6
377,2019,12
378,2022,10
379,2020,5
380,2021,12
381,2023,5
382,2019,11
383,2020,9
384,2022,12
385,2021,10
386,2022,1
387,2019,12
388,2023,5
389,2020,1
390,2019,2
391,2020,8
392,2023,6
393,2022,3
394,2020,9
395,2021,3
396,2019,2
397,2019,8
398,2023,7
399,2021,2
400,2023,1
401,2021,7
402,2021,2
403,2020,5
404,2020,8
405,2020,4
406,2022,8
407,2021,2
408,2019,10
409,2019,10
410,2022,5
411,2020,12
412,2021,7
413,2022,1
414,2021,12
415,2021,5
416,2022,3
417,2020,8
418,2023,5
419,2020,9
420,2021,8
421,2020,10
422,2020,8
423,2022,2
424,2020,7
425,2023,11
426,2019,9
427,2023,4
428,2022,4
429,2020,2
430,2022,4
431,2021,7
432,2019,12
433,2023,9
434,2020,1
435,2019,1
436,2019,7
437,2019,6
438,2019,1
439,2023,2
440,2023,10
441,2023,4
442,2021,8
443,2020,8
444,2020,6
445,2022,7
446,2022,9
447,2020,3
448,2020,5
449,2019,3
450,2020,7
451,2021,5
452,2020,12
453,2022,4
454,2019,8
455,2019,4
456,2019,12
457,2019,3
458,2019,7
459,2021,12
460,2021,7
461,2021,9
462,2019,9
463,2019,2
464,2023,5
465,2023,5
