JobRequestID,ItemKey,SectionKey,DateKey,RequestedQty,IssuedQty,StockOnHand,ForecastQty,IsStockout,FulfillmentStatus,ForecastError_Demand,ForecastError_Supply
JR-1001,1,1,1,63,54,23,68,1,Partial – Stockout,5,14
JR-1001,2,2,2,133,107,388,125,0,Partial – Policy/Budget,-8,18
JR-1011,3,3,3,109,103,352,96,0,Partial – Policy/Budget,-13,-7
JR-1014,4,4,4,9,0,199,0,0,Partial – Policy/Budget,-9,0
JR-1016,5,5,5,125,98,126,153,0,Partial – Policy/Budget,28,55
JR-1023,6,6,6,194,173,192,157,1,Partial – Stockout,-37,-16
JR-1033,7,7,7,155,140,2,178,1,Partial – Stockout,23,38
JR-1040,8,8,8,198,171,375,178,0,Partial – Policy/Budget,-20,7
JR-1049,9,9,9,190,184,296,190,0,Partial – Policy/Budget,0,6
JR-1052,10,10,10,79,71,287,69,0,Partial – Policy/Budget,-10,-2
JR-1054,11,11,11,136,110,171,149,0,Partial – Policy/Budget,13,39
JR-1057,12,12,12,159,135,129,115,1,Partial – Stockout,-44,-20
JR-1060,13,13,13,115,85,426,134,0,Partial – Policy/Budget,19,49
JR-1060,14,14,14,131,109,481,135,0,Partial – Policy/Budget,4,26
JR-1071,15,15,15,,112,24,119,0,Unknown,,7
JR-1072,16,16,16,180,174,105,164,1,Partial – Stockout,-16,-10
JR-1076,17,17,17,66,61,208,78,0,Partial – Policy/Budget,12,17
JR-1076,18,18,18,9,0,102,0,0,Partial – Policy/Budget,-9,0
JR-1079,19,19,19,80,73,402,86,0,Partial – Policy/Budget,6,13
JR-1080,20,20,20,176,149,26,176,1,Partial – Stockout,0,27
JR-1083,21,21,21,110,99,338,111,0,Partial – Policy/Budget,1,12
JR-1083,22,22,22,106,105,20,99,1,Partial – Stockout,-7,-6
JR-1085,23,23,23,92,68,208,100,0,Partial – Policy/Budget,8,32
JR-1096,24,24,24,90,81,385,82,0,Partial – Policy/Budget,-8,1
JR-1099,25,25,25,16,0,251,0,0,Partial – Policy/Budget,-16,0
JR-1104,26,26,26,104,104,119,88,0,Full,-16,-16
JR-1108,27,27,27,128,100,71,138,1,Partial – Stockout,10,38
JR-1108,28,28,28,195,168,277,203,0,Partial – Policy/Budget,8,35
JR-1110,29,29,29,101,91,430,95,0,Partial – Policy/Budget,-6,4
JR-1113,30,30,30,86,56,478,102,0,Partial – Policy/Budget,16,46
JR-1118,31,31,31,45,16,45,37,0,Partial – Policy/Budget,-8,21
JR-1127,32,32,32,151,133,189,156,0,Partial – Policy/Budget,5,23
JR-1130,33,33,33,39,12,53,33,0,Partial – Policy/Budget,-6,21
JR-1131,34,34,34,111,96,148,113,0,Partial – Policy/Budget,2,17
JR-1144,35,35,35,29,8,177,14,0,Partial – Policy/Budget,-15,6
JR-1145,36,36,36,131,117,257,139,0,Partial – Policy/Budget,8,22
JR-1145,37,37,37,121,92,67,150,1,Partial – Stockout,29,58
JR-1149,38,38,38,92,69,438,99,0,Partial – Policy/Budget,7,30
JR-1149,39,39,39,196,183,408,225,0,Partial – Policy/Budget,29,42
JR-1152,40,40,40,77,64,338,70,0,Partial – Policy/Budget,-7,6
JR-1154,41,41,41,179,174,42,156,1,Partial – Stockout,-23,-18
JR-1158,42,42,42,127,102,337,122,0,Partial – Policy/Budget,-5,20
JR-1158,43,43,43,35,14,331,71,0,Partial – Policy/Budget,36,57
JR-1158,44,44,44,28,26,483,18,0,Partial – Policy/Budget,-10,-8
JR-1162,45,45,45,18,7,15,2,1,Partial – Stockout,-16,-5
JR-1164,46,46,46,58,45,382,35,0,Partial – Policy/Budget,-23,-10
JR-1166,47,47,47,132,102,97,131,1,Partial – Stockout,-1,29
JR-1170,48,48,48,35,32,165,19,0,Partial – Policy/Budget,-16,-13
JR-1171,49,49,49,55,35,191,58,0,Partial – Policy/Budget,3,23
JR-1173,50,50,50,116,104,237,100,0,Partial – Policy/Budget,-16,-4
JR-1179,51,51,51,193,164,158,202,1,Partial – Stockout,9,38
JR-1186,52,52,52,67,61,127,46,0,Partial – Policy/Budget,-21,-15
JR-1188,53,53,53,174,151,58,203,1,Partial – Stockout,29,52
JR-1190,54,54,54,18,0,8,30,1,Partial – Stockout,12,30
JR-1194,55,55,55,120,100,262,136,0,Partial – Policy/Budget,16,36
JR-1197,56,56,56,66,55,369,59,0,Partial – Policy/Budget,-7,4
JR-1197,57,57,57,92,63,162,130,0,Partial – Policy/Budget,38,67
JR-1201,58,58,58,152,130,34,138,1,Partial – Stockout,-14,8
JR-1202,59,59,59,,61,198,87,0,Unknown,,26
JR-1210,60,60,60,128,105,371,148,0,Partial – Policy/Budget,20,43
JR-1222,61,61,61,90,81,363,94,0,Partial – Policy/Budget,4,13
JR-1223,62,62,62,174,157,394,161,0,Partial – Policy/Budget,-13,4
JR-1223,63,63,63,196,175,121,218,1,Partial – Stockout,22,43
JR-1227,64,64,64,157,151,466,142,0,Partial – Policy/Budget,-15,-9
JR-1229,65,65,65,135,129,366,167,0,Partial – Policy/Budget,32,38
JR-1231,66,66,66,49,41,145,53,0,Partial – Policy/Budget,4,12
JR-1241,67,67,67,190,164,277,174,0,Partial – Policy/Budget,-16,10
JR-1248,68,68,68,71,46,349,20,0,Partial – Policy/Budget,-51,-26
JR-1264,69,69,69,173,146,439,178,0,Partial – Policy/Budget,5,32
JR-1266,70,70,70,17,2,48,30,0,Partial – Policy/Budget,13,28
JR-1266,71,71,71,91,66,34,91,1,Partial – Stockout,0,25
JR-1271,72,72,72,117,112,136,149,0,Partial – Policy/Budget,32,37
JR-1273,73,73,73,85,59,344,67,0,Partial – Policy/Budget,-18,8
JR-1274,74,74,74,135,112,140,147,0,Partial – Policy/Budget,12,35
JR-1282,75,75,75,127,104,201,110,0,Partial – Policy/Budget,-17,6
JR-1295,76,76,76,155,152,90,150,1,Partial – Stockout,-5,-2
JR-1308,77,77,77,198,183,387,229,0,Partial – Policy/Budget,31,46
JR-1319,78,78,78,28,0,185,30,0,Partial – Policy/Budget,2,30
JR-1323,79,79,79,100,83,418,101,0,Partial – Policy/Budget,1,18
JR-1324,80,80,80,194,186,348,176,0,Partial – Policy/Budget,-18,-10
JR-1328,81,81,81,,163,269,189,0,Unknown,,26
JR-1334,82,82,82,178,163,301,196,0,Partial – Policy/Budget,18,33
JR-1336,83,83,83,53,48,198,51,0,Partial – Policy/Budget,-2,3
JR-1345,84,84,84,,95,399,104,0,Unknown,,9
JR-1351,85,85,85,14,14,396,37,0,Full,23,23
JR-1352,86,86,86,10,3,472,17,0,Partial – Policy/Budget,7,14
JR-1359,87,87,87,150,134,86,166,1,Partial – Stockout,16,32
JR-1377,88,88,88,132,116,389,135,0,Partial – Policy/Budget,3,19
JR-1380,89,89,89,145,120,16,154,1,Partial – Stockout,9,34
JR-1397,90,90,90,161,131,342,144,0,Partial – Policy/Budget,-17,13
JR-1402,91,91,91,123,120,151,104,0,Partial – Policy/Budget,-19,-16
JR-1404,92,92,92,45,31,119,5,0,Partial – Policy/Budget,-40,-26
JR-1406,93,93,93,45,22,473,72,0,Partial – Policy/Budget,27,50
JR-1408,94,94,94,103,74,255,107,0,Partial – Policy/Budget,4,33
JR-1410,95,95,95,158,130,482,153,0,Partial – Policy/Budget,-5,23
JR-1418,96,96,96,27,8,108,32,0,Partial – Policy/Budget,5,24
JR-1422,97,97,97,33,33,183,36,0,Full,3,3
JR-1425,98,98,98,116,100,168,125,0,Partial – Policy/Budget,9,25
JR-1430,99,99,99,92,75,293,108,0,Partial – Policy/Budget,16,33
JR-1431,100,100,100,178,148,217,182,0,Partial – Policy/Budget,4,34
JR-1439,101,101,101,168,140,154,150,1,Partial – Stockout,-18,10
JR-1440,102,102,102,186,172,482,151,0,Partial – Policy/Budget,-35,-21
JR-1444,103,103,103,21,1,219,21,0,Partial – Policy/Budget,0,20
JR-1448,104,104,104,195,194,328,201,0,Partial – Policy/Budget,6,7
JR-1449,105,105,105,98,97,83,73,1,Partial – Stockout,-25,-24
JR-1453,106,106,106,143,143,490,161,0,Full,18,18
JR-1457,107,107,107,3,0,420,0,0,Partial – Policy/Budget,-3,0
JR-1462,108,108,108,178,157,330,174,0,Partial – Policy/Budget,-4,17
JR-1462,109,109,109,,158,180,186,0,Unknown,,28
JR-1467,110,110,110,41,25,85,65,0,Partial – Policy/Budget,24,40
JR-1473,111,111,111,104,84,119,114,0,Partial – Policy/Budget,10,30
JR-1474,112,112,112,44,38,448,61,0,Partial – Policy/Budget,17,23
JR-1478,113,113,113,188,169,452,177,0,Partial – Policy/Budget,-11,8
JR-1478,114,114,114,41,12,475,9,0,Partial – Policy/Budget,-32,-3
JR-1482,115,115,115,142,112,143,167,0,Partial – Policy/Budget,25,55
JR-1483,116,116,116,195,185,450,188,0,Partial – Policy/Budget,-7,3
JR-1486,117,117,117,50,44,145,80,0,Partial – Policy/Budget,30,36
JR-1488,118,118,118,23,17,119,35,0,Partial – Policy/Budget,12,18
JR-1490,119,119,119,29,24,414,44,0,Partial – Policy/Budget,15,20
JR-1491,120,120,120,8,0,215,2,0,Partial – Policy/Budget,-6,2
JR-1500,121,121,121,61,50,250,98,0,Partial – Policy/Budget,37,48
JR-1507,122,122,122,171,157,344,170,0,Partial – Policy/Budget,-1,13
JR-1510,123,123,123,41,30,22,33,1,Partial – Stockout,-8,3
JR-1515,124,124,124,30,20,177,63,0,Partial – Policy/Budget,33,43
JR-1519,125,125,125,23,11,194,37,0,Partial – Policy/Budget,14,26
JR-1525,126,126,126,80,68,137,45,0,Partial – Policy/Budget,-35,-23
JR-1528,127,127,127,115,107,178,68,0,Partial – Policy/Budget,-47,-39
JR-1530,128,128,128,61,53,43,73,1,Partial – Stockout,12,20
JR-1530,129,129,129,46,27,162,70,0,Partial – Policy/Budget,24,43
JR-1534,130,130,130,59,50,361,40,0,Partial – Policy/Budget,-19,-10
JR-1535,131,131,131,70,63,275,85,0,Partial – Policy/Budget,15,22
JR-1536,132,132,132,176,165,111,167,1,Partial – Stockout,-9,2
JR-1537,133,133,133,168,152,303,151,0,Partial – Policy/Budget,-17,-1
JR-1541,134,134,134,116,115,470,143,0,Partial – Policy/Budget,27,28
JR-1562,135,135,135,153,143,158,133,0,Partial – Policy/Budget,-20,-10
JR-1567,136,136,136,72,53,8,56,1,Partial – Stockout,-16,3
JR-1567,137,137,137,157,138,315,107,0,Partial – Policy/Budget,-50,-31
JR-1570,138,138,138,189,168,409,206,0,Partial – Policy/Budget,17,38
JR-1583,139,139,139,162,142,4,180,1,Partial – Stockout,18,38
JR-1585,140,140,140,194,190,75,194,1,Partial – Stockout,0,4
JR-1590,141,141,141,94,76,282,90,0,Partial – Policy/Budget,-4,14
JR-1599,142,142,142,192,172,97,193,1,Partial – Stockout,1,21
JR-1601,143,143,143,116,114,161,131,0,Partial – Policy/Budget,15,17
JR-1602,144,144,144,92,70,458,50,0,Partial – Policy/Budget,-42,-20
JR-1605,145,145,145,137,127,199,137,0,Partial – Policy/Budget,0,10
JR-1607,146,146,146,169,140,328,178,0,Partial – Policy/Budget,9,38
JR-1618,147,147,147,2,0,58,15,0,Partial – Policy/Budget,13,15
JR-1618,148,148,148,185,173,476,173,0,Partial – Policy/Budget,-12,0
JR-1620,149,149,149,145,130,360,146,0,Partial – Policy/Budget,1,16
JR-1636,150,150,150,31,19,477,46,0,Partial – Policy/Budget,15,27
JR-1646,151,151,151,124,102,224,113,0,Partial – Policy/Budget,-11,11
JR-1647,152,152,152,18,12,411,0,0,Partial – Policy/Budget,-18,-12
JR-1651,153,153,153,138,121,409,160,0,Partial – Policy/Budget,22,39
JR-1651,154,154,154,158,156,214,164,0,Partial – Policy/Budget,6,8
JR-1660,155,155,155,55,29,438,55,0,Partial – Policy/Budget,0,26
JR-1662,156,156,156,131,121,498,134,0,Partial – Policy/Budget,3,13
JR-1666,157,157,157,187,185,427,217,0,Partial – Policy/Budget,30,32
JR-1668,158,158,158,113,102,363,117,0,Partial – Policy/Budget,4,15
JR-1674,159,159,159,119,103,318,102,0,Partial – Policy/Budget,-17,-1
JR-1674,160,160,160,7,5,23,0,0,Partial – Policy/Budget,-7,-5
JR-1687,161,161,161,129,126,85,115,1,Partial – Stockout,-14,-11
JR-1691,162,162,162,190,161,281,189,0,Partial – Policy/Budget,-1,28
JR-1692,163,163,163,40,31,154,25,0,Partial – Policy/Budget,-15,-6
JR-1699,164,164,164,158,138,29,168,1,Partial – Stockout,10,30
JR-1701,165,165,165,103,100,108,132,0,Partial – Policy/Budget,29,32
JR-1709,166,166,166,16,7,341,0,0,Partial – Policy/Budget,-16,-7
JR-1715,167,167,167,81,58,242,57,0,Partial – Policy/Budget,-24,-1
JR-1716,168,168,168,80,69,308,82,0,Partial – Policy/Budget,2,13
JR-1724,169,169,169,102,88,119,85,0,Partial – Policy/Budget,-17,-3
JR-1732,170,170,170,60,59,96,59,0,Partial – Policy/Budget,-1,0
JR-1735,171,171,171,59,53,350,75,0,Partial – Policy/Budget,16,22
JR-1736,172,172,172,7,0,375,0,0,Partial – Policy/Budget,-7,0
JR-1745,173,173,173,85,74,286,84,0,Partial – Policy/Budget,-1,10
JR-1747,174,174,174,136,129,149,155,0,Partial – Policy/Budget,19,26
JR-1753,175,175,175,16,8,335,15,0,Partial – Policy/Budget,-1,7
